NOMBRE PROYECTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fecha de hoy:;17-06-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;INICIATIVA;ACTIVIDAD;TAREA;RESPONSABLE;HITO O ACTIVIDAD;PLAZO;FECHA DE INICIO;FECHA DE TÉRMINO;¿REALIZADO?;ESTADO;COMENTARIO;Enero;;;;Febrero;;;;Marzo;;;;Abril;;;;Mayo;;;;Junio;;;;Julio;;;;Agosto;;;;Septiembre;;;;Octubre;;;;Noviembre;;;;Diciembre;;;
1;NOMBRE INICIATIVA;;;;;;;;;;;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4;S1;S2;S3;S4
1.1;;OBJETIVO 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.1;;;Actividad 1;Matias;Actividad;45 días;01-03-2026;15-04-2026;Si;Realizado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2;;;Actividad 2;JP;Actividad;45 días;01-03-2026;15-04-2026;Si;Realizado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.3;;;Actividad 3;Isi;Actividad;31 días;01-05-2026;01-06-2026;Si;Realizado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.4;;;Actividad 4;Matias;Hito;31 días;01-05-2026;01-06-2026;No;Atrasado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.5;;;Actividad 5;JP;Hito;31 días;01-05-2026;01-06-2026;No;Atrasado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2;;OBJETIVO 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1;;;Actividad 6;Matias;Actividad;29 días;01-06-2026;30-06-2026;No;Dentro de Plazo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2;;;Actividad 7;JP;Actividad;60 días;01-07-2026;30-08-2026;No;Dentro de Plazo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3;;;Actividad 8;Isi;Actividad;14 días;01-09-2026;15-09-2026;No;Dentro de Plazo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4;;;Actividad 9;Matias;Actividad;29 días;01-06-2026;30-06-2026;No;Dentro de Plazo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.5;;;Actividad 10;JP;Actividad;14 días;01-07-2026;15-07-2026;No;Dentro de Plazo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.6;;;Actividad 11;Isi;Hito;15 días;15-07-2026;30-07-2026;No;Dentro de Plazo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
